,Location,CompIndex,CompBenchmark,CompYoYChange,Date,District
567,City of Toronto,183.6,602000,6.93,2015-07-01,Old Toronto
568,City of Toronto,184,602000,6.93,2015-07-01,Old Toronto
569,City of Toronto,184.1,603600,7.54,2015-08-01,Old Toronto
570,City of Toronto,184,603600,7.54,2015-08-01,Old Toronto
571,City of Toronto,185.3,607600,8.62,2015-09-01,Old Toronto
572,City of Toronto,185,607600,8.62,2015-09-01,Old Toronto
573,City of Toronto,185.9,609500,8.21,2015-10-01,Old Toronto
574,City of Toronto,186,609500,8.21,2015-10-01,Old Toronto
575,City of Toronto,186.9,612800,8.03,2015-11-01,Old Toronto
576,City of Toronto,187,612800,8.03,2015-11-01,Old Toronto
577,City of Toronto,187,613200,7.66,2015-12-01,Old Toronto
578,City of Toronto,187,613200,7.66,2015-12-01,Old Toronto
579,City of Toronto,188.2,617100,8.35,2016-01-01,Old Toronto
580,City of Toronto,188,617100,8.35,2016-01-01,Old Toronto
581,City of Toronto,189.5,621400,8.6,2016-02-01,Old Toronto
582,City of Toronto,189.5,621400,8.6,2016-02-01,Old Toronto
583,City of Toronto,193.3,633800,9.33,2016-03-01,Old Toronto
584,City of Toronto,193.3,633800,9.33,2016-03-01,Old Toronto
585,City of Toronto,197.3,646900,9.86,2016-04-01,Old Toronto
586,City of Toronto,197.3,646900,9.86,2016-04-01,Old Toronto
587,City of Toronto,203.2,666300,11.71,2016-05-01,Old Toronto
588,City of Toronto,203.2,666300,11.71,2016-05-01,Old Toronto
589,City of Toronto,206.2,676100,12.68,2016-06-01,Old Toronto
590,City of Toronto,206.2,676100,12.68,2016-06-01,Old Toronto
591,City of Toronto,208,682000,13.35,2016-07-01,Old Toronto
592,City of Toronto,208,682000,13.35,2016-07-01,Old Toronto
593,City of Toronto,209,685300,13.53,2016-08-01,Old Toronto
594,City of Toronto,209,685300,13.53,2016-08-01,Old Toronto
595,City of Toronto,210.7,690900,13.77,2016-09-01,Old Toronto
596,City of Toronto,210.7,690900,13.77,2016-09-01,Old Toronto
597,City of Toronto,215.2,705600,15.76,2016-10-01,Old Toronto
598,City of Toronto,215.2,705600,15.76,2016-10-01,Old Toronto
599,City of Toronto,217.7,713800,16.54,2016-11-01,Old Toronto
600,City of Toronto,217.7,713800,16.54,2016-11-01,Old Toronto
601,City of Toronto,219.7,720400,17.55,2016-12-01,Old Toronto
602,City of Toronto,219.7,720400,17.55,2016-12-01,Old Toronto
603,City of Toronto,221.7,720200,18.94,2017-01-01,Old Toronto
604,City of Toronto,221.7,720200,18.94,2017-01-01,Old Toronto
605,City of Toronto,227,737400,19.92,2017-02-01,Old Toronto
606,City of Toronto,227,737400,19.92,2017-02-01,Old Toronto
607,City of Toronto,239.7,778700,24.13,2017-03-01,Old Toronto
608,City of Toronto,239.7,778700,24.13,2017-03-01,Old Toronto
609,City of Toronto,251.5,817000,27.66,2017-04-01,Old Toronto
610,City of Toronto,251.5,817000,27.66,2017-04-01,Old Toronto
611,City of Toronto,255.6,830300,26.1,2017-05-01,Old Toronto
612,City of Toronto,255.6,830300,26.1,2017-05-01,Old Toronto
613,City of Toronto,255.9,829500,24.22,2017-06-01,Old Toronto
614,City of Toronto,255.9,829500,24.22,2017-06-01,Old Toronto
615,City of Toronto,249.2,807800,20.1,2017-07-01,Old Toronto
616,City of Toronto,249.2,807800,20.1,2017-07-01,Old Toronto
617,City of Toronto,243.7,790000,16.71,2017-08-01,Old Toronto
618,City of Toronto,243.7,790000,16.71,2017-08-01,Old Toronto
619,City of Toronto,243,787700,15.28,2017-09-01,Old Toronto
620,City of Toronto,243,787700,15.28,2017-09-01,Old Toronto
621,City of Toronto,243.8,790300,13.29,2017-10-01,Old Toronto
622,City of Toronto,243.8,790300,13.29,2017-10-01,Old Toronto
623,City of Toronto,244.1,791300,12.33,2017-11-01,Old Toronto
624,City of Toronto,244.1,791300,12.33,2017-11-01,Old Toronto
625,City of Toronto,244.9,793900,11.67,2017-12-01,Old Toronto
626,City of Toronto,244.9,793900,11.67,2017-12-01,Old Toronto
627,City of Toronto,245,794200,10.31,2018-01-01,Old Toronto
628,City of Toronto,245,794200,10.31,2018-01-01,Old Toronto
629,City of Toronto,249.1,807500,9.54,2018-02-01,Old Toronto
630,City of Toronto,249.1,807500,9.54,2018-02-01,Old Toronto
631,City of Toronto,252.3,817800,4.78,2018-03-01,Old Toronto
632,City of Toronto,252.3,817800,4.78,2018-03-01,Old Toronto
633,City of Toronto,256.2,830500,1.55,2018-04-01,Old Toronto
634,City of Toronto,256.2,830500,1.55,2018-04-01,Old Toronto
635,City of Toronto,259,839600,1.01,2018-05-01,Old Toronto
636,City of Toronto,259,839600,1.01,2018-05-01,Old Toronto
637,City of Toronto,259.2,840200,1.29,2018-06-01,Old Toronto
638,City of Toronto,259.2,840200,1.29,2018-06-01,Old Toronto
639,City of Toronto,258.8,838900,3.85,2018-07-01,Old Toronto
640,City of Toronto,258.8,838900,3.85,2018-07-01,Old Toronto
641,City of Toronto,258.5,838200,6.07,2018-08-01,Old Toronto
642,City of Toronto,258.5,838200,6.07,2018-08-01,Old Toronto
643,City of Toronto,259.6,841700,6.74,2018-09-01,Old Toronto
644,City of Toronto,259.6,841700,6.74,2018-09-01,Old Toronto
645,City of Toronto,260.9,845900,7.01,2018-10-01,Old Toronto
646,City of Toronto,260.9,845900,7.01,2018-10-01,Old Toronto
647,City of Toronto,260.5,844600,6.72,2018-11-01,Old Toronto
648,City of Toronto,260.5,844600,6.72,2018-11-01,Old Toronto
649,City of Toronto,260.6,845000,6.41,2018-12-01,Old Toronto
650,City of Toronto,260.6,845000,6.41,2018-12-01,Old Toronto
651,City of Toronto,259.1,840100,5.76,2019-01-01,Old Toronto
652,City of Toronto,259.1,840100,5.76,2019-01-01,Old Toronto
653,City of Toronto,262.9,852400,5.5,2019-02-01,Old Toronto
654,City of Toronto,262.9,852400,5.5,2019-02-01,Old Toronto
655,City of Toronto,266.4,863800,5.55,2019-03-01,Old Toronto
656,City of Toronto,266.4,863800,5.55,2019-03-01,Old Toronto
657,City of Toronto,269.5,873800,5.15,2019-04-01,Old Toronto
658,City of Toronto,269.5,873800,5.15,2019-04-01,Old Toronto
659,City of Toronto,271.2,879300,4.71,2019-05-01,Old Toronto
660,City of Toronto,271.2,879300,4.71,2019-05-01,Old Toronto
661,City of Toronto,272.3,882900,5.05,2019-06-01,Old Toronto
662,City of Toronto,272.3,882900,5.05,2019-06-01,Old Toronto
663,City of Toronto,273.4,886500,5.64,2019-07-01,Old Toronto
664,City of Toronto,273.4,886500,5.64,2019-07-01,Old Toronto
665,City of Toronto,273.8,887800,5.92,2019-08-01,Old Toronto
666,City of Toronto,273.8,887800,5.92,2019-08-01,Old Toronto
667,City of Toronto,274.5,890000,5.74,2019-09-01,Old Toronto
